"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate","Info"
"28884","5.204591","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"28937","5.215420","10.1.0.6","10.1.0.11","TCP","452","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=303001 Win=131072 Len=0 TSval=5221 TSecr=5196"
"28949","5.215515","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28950","5.215515","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"28951","5.215515","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29001","5.226350","10.1.0.6","10.1.0.11","TCP","376","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=315001 Win=131072 Len=0 TSval=5231 TSecr=5196"
"29015","5.226897","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29016","5.226897","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29064","5.237598","10.1.0.6","10.1.0.11","TCP","376","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=327001 Win=131072 Len=0 TSval=5243 TSecr=5196"
"29076","5.237693","10.1.0.11","10.1.0.6","WebSocket","7046","","","WebSocket Continuation[FRAGMENT]  "
"29077","5.237693","10.1.0.11","10.1.0.6","WebSocket","6970","","","WebSocket Continuation[FRAGMENT]  "
"29129","5.248513","10.1.0.6","10.1.0.11","TCP","528","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=341501 Win=131072 Len=0 TSval=5254 TSecr=5207"
"29140","5.248617","10.1.0.11","10.1.0.6","TCP","1382","","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=118001 Win=131072 Len=0 TSval=5178 TSecr=5053"
"29179","5.253957","10.1.0.6","10.1.0.11","WebSocket","4800","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"29192","5.254043","10.1.0.11","10.1.0.6","WebSocket","7046","","","WebSocket Continuation[FRAGMENT]  "
"29193","5.254043","10.1.0.11","10.1.0.6","WebSocket","6546","","","WebSocket Continuation[FRAGMENT]  "
"29194","5.254043","10.1.0.11","10.1.0.6","WebSocket","1152","","","WebSocket Continuation[FRAGMENT]  "
"29243","5.264814","10.1.0.6","10.1.0.11","TCP","528","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=354001 Win=131072 Len=0 TSval=5270 TSecr=5213"
"29258","5.265175","10.1.0.11","10.1.0.6","WebSocket","7046","","","WebSocket Continuation[FRAGMENT]  "
"29259","5.265175","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29306","5.275769","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"29322","5.275873","10.1.0.11","10.1.0.6","WebSocket","7046","","","WebSocket Continuation[FRAGMENT]  "
"29323","5.275873","10.1.0.11","10.1.0.6","WebSocket","7470","","","WebSocket Continuation[FRAGMENT]  "
"29374","5.286699","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"29385","5.286821","10.1.0.11","10.1.0.6","TCP","546","","","talon-disc(7011)  >  49153 [ACK] Seq=1 Ack=136001 Win=131072 Len=0 TSval=5298 TSecr=5261"
"29425","5.292161","10.1.0.6","10.1.0.11","TCP","908","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=381001 Win=131072 Len=0 TSval=5292 TSecr=5238"
"29445","5.292247","10.1.0.11","10.1.0.6","WebSocket","7546","","","WebSocket Continuation[FRAGMENT]  "
"29446","5.292247","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29490","5.303103","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"29516","5.303216","10.1.0.11","10.1.0.6","WebSocket","6470","","","WebSocket Continuation[FRAGMENT]  "
"29517","5.303216","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29518","5.303216","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29620","5.324982","10.1.0.6","10.1.0.11","TCP","832","-34 dBm","","ups-onlinet(7010)  >  49158 [ACK] Seq=1 Ack=407501 Win=131072 Len=0 TSval=5320 TSecr=5260"
"29636","5.325653","10.1.0.11","10.1.0.6","WebSocket","6970","","","WebSocket Continuation[FRAGMENT]  "
"29637","5.325653","10.1.0.11","10.1.0.6","WebSocket","5894","","","WebSocket Continuation[FRAGMENT]  "
"29684","5.336178","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"29699","5.336309","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29700","5.336309","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
"29701","5.336309","10.1.0.11","10.1.0.6","WebSocket","1652","","","WebSocket Continuation[FRAGMENT]  "
"29750","5.347147","10.1.0.6","10.1.0.11","WebSocket","6376","-34 dBm","","WebSocket Continuation[FRAGMENT]  "
"29771","5.347269","10.1.0.11","10.1.0.6","WebSocket","6394","","","WebSocket Continuation[FRAGMENT]  "
