"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Sequence number","Info"
"1332","87.903028","169.1.2.4","169.1.3.2","UDP","2158","","88","49153  >  69 Len=2048"
"1344","88.903034","169.1.2.4","169.1.3.2","UDP","2158","","89","49153  >  69 Len=2048"
"1355","89.903033","169.1.2.4","169.1.3.2","UDP","2158","","90","49153  >  69 Len=2048"
"1367","90.903030","169.1.2.4","169.1.3.2","UDP","2158","","91","49153  >  69 Len=2048"
"1379","91.903036","169.1.2.4","169.1.3.2","UDP","2158","","92","49153  >  69 Len=2048"
"1391","92.903033","169.1.2.4","169.1.3.2","UDP","2158","","93","49153  >  69 Len=2048"
"1403","93.903030","169.1.2.4","169.1.3.2","UDP","2158","","94","49153  >  69 Len=2048"
"1414","94.903029","169.1.2.4","169.1.3.2","UDP","2158","","95","49153  >  69 Len=2048"
"1426","95.903035","169.1.2.4","169.1.3.2","UDP","2158","","96","49153  >  69 Len=2048"
"1438","96.903032","169.1.2.4","169.1.3.2","UDP","2158","","97","49153  >  69 Len=2048"
"1450","97.903029","169.1.2.4","169.1.3.2","UDP","2158","","98","49153  >  69 Len=2048"
"1461","98.903028","169.1.2.4","169.1.3.2","UDP","2158","","99","49153  >  69 Len=2048"
